"","intervention_class","distance_limit","test_rotation","LOD","TAT","iso_lag","total_cases","lci_cases","uci_cases","cases_saved","cases_saved_lci","cases_saved_uci","mean_Reff_reduction","lci_Reff_reduction","uci_Reff_reduction","intervention"
"52","testing","Inf","every-two-weeks-testing","1e+05","5","Inf",16290.48,12084.4485275702,20496.5114724298,638.630000000001,812.428351503942,464.83164849606,0.00367750000001354,0,0.0206159370613328,"two-week-TAT5-LOD105"
"53","testing","Inf","every-two-weeks-testing","1e+05","10","Inf",16424.52,12156.2551408283,20692.7848591717,504.59,740.621738245805,268.558261754195,7.89999999792901e-05,0,0.000515965244552774,"two-week-TAT10-LOD105"
"54","group-size-limit","6","none","1e+01","Inf","Inf",9018.09,7389.35664541602,10646.823354584,7911.02,5507.52023365811,10314.5197663419,0.191643000000008,0,2.48395718273368,"group-lim=6"
"55","group-size-limit","12","none","1e+01","Inf","Inf",13284.98,10237.8285836047,16332.1314163953,3644.13,2659.04829546941,4629.21170453059,0.0704704999999752,0,1.1337589096894,"group-lim=12"
"56","group-size-limit","16","none","1e+01","Inf","Inf",14498.1,10963.3616317801,18032.8383682199,2431.01,1933.515247294,2928.504752706,0.04049900000002,0,0.71732508667197,"group-lim=16"
"57","group-size-limit","20","none","1e+01","Inf","Inf",15407.22,11399.5740517935,19414.8659482065,1521.89,1497.30282728068,1546.47717271933,0.0250380000000046,0,0.495885393595696,"group-lim=20"
"58","group-size-limit","50","none","1e+01","Inf","Inf",16513.26,12700.102181892,20326.417818108,415.850000000002,196.774697182091,634.925302817912,0.00161550000001465,0,0.0504957711534146,"group-lim=50"
"59","symptom-isolation","Inf","none","1e+01","Inf","1",3756.69,3252.44703513244,4260.93296486756,13172.42,9644.42984394169,16700.4101560583,0.665749499999973,0,3.757665162855,"symptom-iso=1"
"60","symptom-isolation","Inf","none","1e+01","Inf","2",4318.52,3602.794683049,5034.245316951,12610.59,9294.08219602513,15927.0978039749,0.551228500000008,0,3.11672759933925,"symptom-iso=2"
"61","symptom-isolation","Inf","none","1e+01","Inf","3",5801.06,4452.8257469755,7149.2942530245,11128.05,8444.05113209863,13812.0488679014,0.366153499999974,0,2.03676595741939,"symptom-iso=3"
"62","symptom-isolation","Inf","none","1e+01","Inf","4",8727.23,6248.21177270844,11206.2482272916,8201.88,6648.6651063657,9755.0948936343,0.17614150000002,0,0.968233544304056,"symptom-iso=4"
"63","symptom-isolation","Inf","none","1e+01","Inf","5",12893.09,9046.6075764092,16739.5724235908,4036.02,3850.26930266494,4221.77069733507,0.063935500000017,0,0.347039355590926,"symptom-iso=5"
"64",NA,"Inf","none","1e+01","Inf","Inf",16929.11,12896.8768790741,20961.3431209259,0,0,0,3.84999999623048e-05,0,9.5661125174118e-05,"none"
